Disease,Diet
Fungal infection,"[ 'Yogurt', 'Pickles (Fermented)', 'Buttermilk', 'Cottage cheese', 'Garlic', 'Coconut oil', 'Turmeric']"
Allergy,"['Onions', 'Garlic', 'Apples', 'Berries', 'Citrus Fruits', 'Leafy Greens', 'Broccoli', 'Green Tea', 'Herbs and Spices', 'Yogurt','Traditional Buttermilk']"
GERD,"['Oatmeal', 'Apples', 'Bananas', 'Melons', 'Carrots', 'Broccoli', 'Leafy greens', 'Ginger tea', 'Licorice root tea', 'Almond milk', 'Chamomile tea', 'Aloe vera juice']"
Chronic cholestasis,"['Berries', 'Citrus Fruits', 'Leafy Greens', 'soya milk', 'Whole grains', 'Legumes', 'Nuts and seeds', 'Fresh fruits and vegetables']"
Drug Reaction,"['Apples', 'Berries', 'Kiwi', 'Papaya', 'Mangoes','Citrus fruits', 'Onions and garlic (Quercetin-rich foods)', 'Yogurt and kefir (Probiotics)']"
Peptic ulcer diseae,"['Fruits and Vegetables', 'Legumes', 'Whole Grains','Nuts and Seeds', 'Ginger', 'Licorice', 'Aloe vera juice']"
AIDS,"['Balanced Diet', 'Leafy greens ','Brown rice', 'Sweet potatoes', 'Fruits and vegetables', 'Whole grains', 'Avocado', 'Olive Oil', 'Nuts']"
Diabetes ,"['Chickpeas', 'Kidney beans', 'Black beans', 'Whole grain bread', 'Lentils', 'Sweet potatoes', 'Apples', 'Berries', 'Grapefruit', 'Oranges', 'Peas']"
Gastroenteritis,"['Bananas', 'Rice', 'Applesauce', 'Toast', 'potatoes', 'Rice', 'Applesauce', 'Toast']"
Bronchial Asthma,"['Berries', 'Leafy greens', 'Turmeric', 'Ginger', 'Walnuts', 'Olive oil', 'Tomatoes', 'Avocado', 'Green tea']"
Hypertension,"['Fruits', ' Vegetables', ' Whole grains', ' almond milk', ' Herbs and spices', ' Unsalted nuts and seeds', ' Plain grains']"
Migraine,"['Water', ' Herbal teas', ' Decaffeinated coffee', ' Decaffeinated teas', ' Fresh fruit juices', ' Coconut water', ' Vegetable juices']"
Cervical spondylosis,"['Olive oil', 'Walnuts', 'Blueberries', 'Spinach', 'Strawberries', 'Kale', 'Turmeric', 'Ginger']"
Paralysis (brain hemorrhage),"['Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Berries', 'Leafy greens', 'Avocado']"
Jaundice,"['Olive oil', 'Leafy greens', 'Walnuts', 'Avocado', 'Berries', 'Whole grains']"
Malaria,"['Mashed potatoes', 'Applesauce', 'Water', 'Herbal teas', 'Citrus fruits', 'Berries', 'Sweet potatoes', 'Carrots', 'Water mixed with salt and sugar', 'Bananas', 'Applesauce', 'Rice', 'Oatmeal', 'Mashed potatoes', 'Plain pasta', 'Steamed vegetables', 'Toast']"
